filename,text,year,university,faculty,department,speciality,author,supervisors,title
diploms/MFTI/2016BS_Kanin.pdf,"         Министерство образования и науки Российской Федерации
  Московский физико-технический институт (государственный университет)
                 Факультет общей и прикладной физики
              Кафедра физики и технологии наноструктур
      Выпускная квалификационная работа на степень бакалавра
«Разработка диэлектрической антенны СВЧ диапазона»
                                                   Студент 225 гр., Канин Евгений
                       Научный руководитель: Доктор физико-математических наук
                                                      Главный научный сотрудник
                                                       Сарычев Андрей Карлович
                               г. Москва
                                  2016
",2016,mipt,факультет общей и прикладной физики,кафедра физики и технологии наноструктур,,Канин Евгений Научный,Сарычев Андрей Карлович,
diploms/ruden/dordzhi-goryaeva_a__c.pdf,"           РОССИЙСКИЙ УНИВЕРСИТЕТ ДРУЖБЫ НАРОДОВ
                     ЮРИДИЧЕСКИЙ ИНСТИТУТ
                Кафедра гражданского и трудового права
                                                      УТВЕРЖДАЮ
                                                 И.О. зав. кафедрой
                                        гражданского и трудового права
                                        д.ю.н., проф. Е.Е. Фролова
                                                      « ___ » ________ 2016 г.
                  ВЫПУСКНАЯ РАБОТА БАКАЛАВРА
                                  на тему
    Ответственность за неисполнение судебного акта в частном праве*.
                               ___________
                        40.03.01 «Юриспруденция»
                   квалификация (степень) «бакалавр»
____
                                Разработчик
                                А.С. Дорджи-Горяева
                                «____»___________2016 г.
                                Научный руководитель:
                                к.ю.н., доцент
                                                    __________
                                         Е.В. Ситкарева
*Работа подготовлена с использованием СПС КонсультантПлюс.
                        Москва – 2016
",2016,rudn,юридический,Кафедра гражданского и трудового права,40.03.01 «Юриспруденция»,А. С. Дорджи-Горяева,Е. В. Ситкарева,
diploms/ruden/bodnar_v.pdf,"  МИНИСТЕРСТВО ОБРАЗОВАНИЯ И НАУКИ РОССИЙСКОЙ ФЕДЕРАЦИИ
 ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ
                  УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ
            «РОССИЙСКИЙ УНИВЕРСИТЕТ ДРУЖБЫ НАРОДОВ»
                           Учебный институт: юридический
Кафедра      Гражданского права и процесса и международного частного права
                                                                  «Допустить к защите»
                                                                 Заведующий кафедрой
                                                         гражданского права и процесса
                                                     и международного частного права
                                                              д.ю.н. проф. Е.Е. Фролова
                                                         ___________________________
                                                                                 ______
                                                               «_____»_________2018 г.
               Выпускная квалификационная работа
                                     бакалавра
                         Направление 40.03.01 «Юриспруденция»
                           квалификация (степень) «бакалавр»
ТЕМА                 Финансирование арбитража третьими лицами
                                   (third-party funding)
Выполнил студент                          Боднарь Валерия
                                          Фамилия, имя, отчество
     Группа ЮЮ-404
     Студ. билет № 1032145130
                                                     Руководитель выпускной
                                                    квалификационной работы
                                                 Ситкарева Е.В., к.ю.н., доцент
     Работа подготовлена с
     использованием СПС                              _____________________
     Консультант Плюс                                        (подпись)
                                                 Автор_____________________
                                                             (подпись)
                                 г.Москва 2018г.
",2018,rudn,юридический,Кафедра      Гражданского права и процесса и международного частного права,40.03.01 «Юриспруденция»,"Боднарь Валерия Фамилия,",Ситкарева Е. В.,
diploms/ruden/gorbacheva_a_i.pdf,"   МИНИСТЕРСТВО ОБРАЗОВАНИЯ И НАУКИ РОССИЙСКОЙ ФЕДЕРАЦИИ
  ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ
                        УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ
                «РОССИЙСКИЙ УНИВЕРСИТЕТ ДРУЖБЫ НАРОДОВ»
                              Учебный институт: юридический
Кафедра           Гражданского права и процесса и международного частного права
                                                                         «Допустить к защите»
                                                                        Заведующий кафедрой
                                                             гражданского права и процесса и
                                                              международного частного права
                                                                    д.ю.н. проф. Е.Е. Фролова
                                                        _________________________________
                                                                     «_____»_________2018 г.
                 Выпускная квалификационная работа
                                        бакалавра1
                            Направление 40.03.01 «Юриспруденция»
                               квалификация (степень) «бакалавр»
ТЕМА          Особенности правового регулирования качества товара в
              международной купле-продаже
Выполнил студент            Горбачева Анна Игоревна
Группа ЮЮ-403
Студ. билет № 1032143307
                                                            Руководитель выпускной
                                                           квалификационной работы
                                                         Русакова Екатерина Петровна,
                                                                 к.ю.н., доцент
                                                            _____________________
                                                                   (подпись)
                                                         Автор_____________________
                                                                   (подпись)
                                         г. Москва 2018 г.
1
  Подготовлено с использованием системы КонсультантПлюс
",2018,rudn,юридический,Кафедра           Гражданского права и процесса и международного частного права,40.03.01 «Юриспруденция»,Горбачева Анна Игоревна,"Русакова Екатерина Петровна,",
diploms/ruden/levicheva_t_k.pdf,"    РОССИЙСКИЙ УНИВЕРСИТЕТ ДРУЖБЫ НАРОДОВ
               ЮРИДИЧЕСКИЙ ИНСТИТУТ
           Кафедра гражданского и трудового права
                                                      УТВЕРЖДАЮ
                                                   И.О. зав. кафедрой
                                      гражданского и трудового права
                                          д.ю.н., проф. Е.Е. Фролова
                                             « ___ » ________ 2016 г.
            ВЫПУСКНАЯ РАБОТА БАКАЛАВРА
                            на тему
« Наследование по завещанию в праве России и некоторых стран
                      Латинской Америки»
                  40.03.01 «Юриспруденция»
              квалификация (степень) «бакалавр»
""Работа подготовлена с использованием СПС КонсультантПлюс"".
                          Разработчик
                          Левичева Т.К.
                          «____»___________2016 г.
                          Научный руководитель:
                          д.ю.н., проф.
                          Беликова К.М.
                 Москва - 2016
                               1
                                   ",2016,rudn,юридический,Кафедра гражданского и трудового права,40.03.01 «Юриспруденция»,Левичева Т. К.,Беликова К. М.,
diploms/ruden/kramarenko_v_o.pdf,"РОССИЙСКИЙ УНИВЕРСИТЕТ ДРУЖБЫ НАРОДОВ
           ЮРИДИЧЕСКИЙ ИНСТИТУТ
       Кафедра гражданского и трудового права
                                                       УТВЕРЖДАЮ
                                          Зав. Кафедрой гражданского
                                                     и трудового права
                                            д.ю.н., проф. Фролова Е.Е.
                                                       «7 июня» 2016г.
       Выпускная работа Бакалавра
                      на тему
            «Срок исковой давности»
           40.03.01 «Юриспруденция»
       Квалификация (степень) «бакалавр»
                 Разработчик:
                 Студент группы ЮЮ-404
                  Крамаренко В.О.
                  «7» июня 2016г.
                 Научный руководитель:
                 к.ю.н., доцент Ивановская Н.В.
                 Подготовлено при информационной поддержке СПС
                 КонсультантПлюc
                    Москва- 2016
                          1
",2016,rudn,юридический,Кафедра гражданского и трудового права,40.03.01 «Юриспруденция»,Крамаренко В. О.,Ивановская Н. В.,
diploms/ruden/lashina_m_v.pdf,"          РОССИЙСКИЙ УНИВЕРСИТЕТ ДРУЖБЫ НАРОДОВ
                     ЮРИДИЧЕСКИЙ ИНСТИТУТ
                 Кафедра гражданского и трудового права
                                                              УТВЕРЖДАЮ
                                                           И.О. зав. кафедрой
                                              гражданского и трудового права
                                                  д.ю.н., проф. Е.Е. Фролова
                                                     « ___ » ________ 2016 г.
                  ВЫПУСКНАЯ РАБОТА БАКАЛАВРА
                                  на тему
    « Правовой режим договорных форм недропользования (на примере
                           России и Венесуэлы) »
                                ___________
                        40.03.01 «Юриспруденция»
                    квалификация (степень) «бакалавр»
______
                               Разработчик
                               М.В. Лашина
                               «____»___________2016 г.
                               Научный руководитель:
                               к.ю.н., доцент
                                                   __________
                                         А.Н. Кирсанов
                      Москва - 2016
       Работа выполнена с использованием системы КонсультантПлюс
         ИСПОЛЬЗУЕМЫЕ АББРЕВИАТУРЫ И СОКРАЩЕНИЯ
      ГКВ – Гражданский кодекс Венесуэлы;
      ГК РФ – Гражданский кодекс Российской Федерации;
      ПВДИИ КЭП ГД - Подкомитет по внешнеэкономической деятельности и
иностранным     инвестициям    Комитета    по   экономической  политике
Государственной Думы РФ;
      РАМСИР – Российское агентство международного сотрудничества и
развития;
      СРП – соглашение о разделе продукции;
      СССР – Союз Советских Социалистических Республик;
      ФЗ «Об СРП» - Федеральный закон от 30.12.1995 № 225-ФЗ «О
соглашениях о разделе продукции»;
      ФЗ «О концессионных соглашениях» - Федеральный закон от
21.07.2005 № 115-ФЗ ""О концессионных соглашениях"";
      CVP - Corporación Venezolana del Petróleo (Венесуэльская нефтяная
корпорация);
      PDVSA - Petróleos de Venezuela, S.A. (Акционерное общество «Нефть
Венесуэлы»).
                                     2
                                             ",2005,rudn,юридический,Кафедра гражданского и трудового права,40.03.01 «Юриспруденция»,М. В. Лашина,А. Н. Кирсанов,
diploms/hse/antipenko_vm_proekt-pedagogicheskiy-volonter-kak-model-podderjki-uchastnikov-obrazovatelnyh-otnosheniy-pri-pereh_155975.pdf,"          ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ
                   ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ
          ВЫСШЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ
       «НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ УНИВЕРСИТЕТ
                   «ВЫСШАЯ ШКОЛА ЭКОНОМИКИ»
                        Факультет социальных наук
                      Антипенко Варвара Михайловна
     ПРОЕКТ «ПЕДАГОГИЧЕСКИЙ ВОЛОНТЕР» КАК МОДЕЛЬ ПОДДЕРЖКИ
                              УЧАСТНИКОВ
         ОБРАЗОВАТЕЛЬНЫХ ОТНОШЕНИЙ В УСЛОВИЯХ ПЕРЕХОДА НА
                        ДИСТАНЦИОННОЕ ОБУЧЕНИЕ
    Выпускная квалификационная работа - МАГИСТЕРСКИЙ ПРОЕКТ
            по направлению подготовки 41.04.04 «Политология»
       образовательная программа «Современная политическая наука в
                  преподавании обществознания в школе»
Рецензент                                            Научный руководитель
д.и.н.                                                              к.п.н.
Светлана Александровна Короткова            Елена Константиновна Калуцкая
                         Москва 2021
                                                                      1
",2021,hse,Факультет социальных наук,,41.04.04 «Политология»,,Светлана Александровна Короткова,
diploms/hse/2.pdf," ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ
                  УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ
        «НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ УНИВЕРСИТЕТ
                      «ВЫСШАЯ ШКОЛА ЭКОНОМИКИ»
                          Факультет социальных наук
                        Волохович Алексей Алексеевич
         CТРАТЕГИИ ПОВЕДЕНИЯ ЖИТЕЛЕЙ МОСКВЫ ПО ОТНОШЕНИЮ
                  К ОРГАНИЗОВАННОМУ ПОПРОШАЙНИЧЕСТВУ
                      выпускная квалификационная работа
               по направлению подготовки 39.03.01 «Социология»
                   образовательная программа «Социология»
Рецензент                                                   Научный руководитель
старший преподаватель кафедры мето-          к. социол. наук, доц. кафедры методов
дов сбора и анализа социологической       сбора и анализа социологической инфор-
информации.                                                                   мации.
___________________                                         ____________________
Н. В. Большаков                                                       И. К. Зангиева
                                                               \
                           Москва 2020
                                             ",2020,hse,Факультет социальных наук,,39.03.01 «Социология»,,,
diploms/hse/astanchuk_va_tehnologiya-organizacii-zapuska-programmy-dopolnitelnogo-professionalnogo-obrazovaniya-v-oblasti-upr_155477.pdf,"  ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ
                                 УЧРЕЖДЕНИЕ
                           ВЫСШЕГО ОБРАЗОВАНИЯ
          «НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ УНИВЕРСИТЕТ
                       «ВЫСШАЯ ШКОЛА ЭКОНОМИКИ»
                     Факультет Институт образования
                        Астанчук Валерий Александрович
      ТЕХНОЛОГИЯ ОРГАНИЗАЦИИ ЗАПУСКА ПРОГРАММЫ ДОПОЛНИТЕЛЬНОГО
   ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ В ОБЛАСТИ УПРАВЛЕНИЯ ОРГАНИЗАЦИЕЙ
      ОТДЫХА И ОЗДОРОВЛЕНИЯ ДЕТЕЙ И МОЛОДЕЖИ НА БАЗЕ ДЕЙСТВУЮЩЕЙ
                        ОБРАЗОВАТЕЛЬНОЙ ОРГАНИЗАЦИИ
     Выпускная квалификационная работа - МАГИСТЕРСКАЯ ДИССЕРТАЦИЯ
 по направлению подготовки 38.04.04 Государственное и муниципальное управление
              образовательная программа «Управление образованием»
Рецензент                                                Научный руководитель
                                                        Старший преподаватель
                                                     Наталья Витальевна Исаева
                                  Москва 2021
",2021,hse,Факультет Институт образования,,38.04.04 Государственное и муниципальное управление,,Наталья Витальевна Исаева,
diploms/hse/gizi_as_model-konsultacionnogo-centra-dlya-obshcheobrazovatelnyh-organizaciy-i-organov-upravleniya-obrazovanie_155498.pdf,"        ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ
   ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ
    «НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ УНИВЕРСИТЕТ
                  «ВЫСШАЯ ШКОЛА ЭКОНОМИКИ»
                  Факультет Институт образования
          Гизи Александр Сергеевич, Озерова Мария Викторовна
    Модель консультационного центра для общеобразовательных
организаций и органов управления образованием, ориентированных на
                   управление на основании данных
                 Выпускная квалификационная работа –
                   МАГИСТЕРСКАЯ ДИССЕРТАЦИЯ
                     по направлению подготовки
        38.04.04 Государственное и муниципальное управление
         образовательная программа «Управление образованием»
Рецензент                                        Научный руководитель
                                                         к.пед.н., проф.
___________________                              ____________________
                                                         А.Г. Каспржак
                             Москва 2021
                                        ",2021,hse,Факультет Институт образования,,38.04.04 Государственное и муниципальное управление,,А. Г. Каспржак,
diploms/hse/vlasova_ad_infografika-kak-instrument-formirovaniya-politicheskoy-gramotnosti-uchashchihsya-10-11-klassov_156210.pdf,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ
                              УЧРЕЖДЕНИЕ
           ВЫСШЕГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ
       «НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ УНИВЕРСИТЕТ
                    «ВЫСШАЯ ШКОЛА ЭКОНОМИКИ»
                        Факультет социальных наук
                         Власова Алёна Дмитриевна
        ИНФОГРАФИКА КАК ИНСТРУМЕНТ ФОРМИРОВАНИЯ
    ПОЛИТИЧЕСКОЙ ГРАМОТНОСТИ УЧАЩИХСЯ 10-11 КЛАССОВ
      Выпускная квалификационная работа - МАГИСТЕРСКИЙ ПРОЕКТ
             по направлению подготовки 41.04.04 «Политология»
 образовательная программа «Современная политическая наука в преподавании
                          обществознания в школе»
Рецензент                                               Научный руководитель
Научный сотрудник лаборатории                      Старший научный сотрудник
социально-гуманитарного общего            лаборатории социально-гуманитарного
образования ИСРО РАО                            общего образования ИСРО РАО,
Лобанов Илья Анатольевич                          кандидат педагогических наук
                                                Калуцкая Елена Константиновна
                            Москва 2021
",2021,hse,Факультет социальных наук,,41.04.04 «Политология»,,,
diploms/hse/3.pdf,"     ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ
                    УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ
            «НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ УНИВЕРСИТЕТ
                       «ВЫСШАЯ ШКОЛА ЭКОНОМИКИ»
                            Факультет социальных наук
                        Голованова Марина Александровна
     АКАДЕМИЧЕСКОЕ МОШЕННИЧЕСТВО: ВЛИЯНИЕ ВОВЛЕЧЕННОСТИ ВО
          ВНЕУЧЕБНУЮ ДЕЯТЕЛЬНОСТЬ И ШКОЛЬНОГО БЭКГРАУНДА
                       выпускная квалификационная работа
                 по направлению подготовки 39.03.01 «Социология»
                     образовательная программа «Социология»
Рецензент                                                     Научный руководитель
Профессор кафедры                                              к.э.н., доцент кафедры
экономической социологии.                                 экономической социологии,
____________________                                     старший научный сотрудник
О.Е. Кузина                                                                     ЛЭСИ
                                                               ___________________
                                                                         Я.М. Рощина
                            Москва 2020
",2020,hse,Факультет социальных наук,,39.03.01 «Социология»,,,
diploms/hse/4.pdf,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ОБРАЗОВАТЕЛЬНОЕ
                УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ
       «НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ УНИВЕРСИТЕТ
                   «ВЫСШАЯ ШКОЛА ЭКОНОМИКИ»
                        Факультет социальных наук
                       Антомони Мария Михайловна
              Имидж российских политиков в глазах молодежи
                   выпускная квалификационная работа
             по направлению подготовки 39.03.01 «Социология»
                 образовательная программа «Социология»
Рецензент                                               Научный руководитель
Аспирант департамента политики                         к.с.н., доцент кафедры
и управления                                         методов сбора и анализа
Мясников Станислав Александрович               социологической информации
                                                    департамента социологии
                                            Ротмистров Алексей Николаевич
                         Москва 2020
",2020,hse,Факультет социальных наук,,39.03.01 «Социология»,,,
